L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy_mean,float_f1_mean,float_roc_auc_mean,float_pr_auc_mean,lut_numpy_accuracy_mean,lut_numpy_f1_mean,lut_numpy_roc_auc_mean,lut_numpy_pr_auc_mean,lut_numba_accuracy_mean,lut_numba_f1_mean,lut_numba_roc_auc_mean,lut_numba_pr_auc_mean,float_accuracy_std,float_f1_std,float_roc_auc_std,float_pr_auc_std,lut_numpy_accuracy_std,lut_numpy_f1_std,lut_numpy_roc_auc_std,lut_numpy_pr_auc_std,lut_numba_accuracy_std,lut_numba_f1_std,lut_numba_roc_auc_std,lut_numba_pr_auc_std
2,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872660391647733,0.9874086673727227,0.9987830051576412,0.9986822759064673,0.9872660391647733,0.9874086673727227,0.998783005157641,0.9986822748768288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872660391647733,0.9874086673727227,0.9987830051576412,0.9986822759064673,0.9872660391647733,0.9874086673727227,0.998783005157641,0.9986822748768288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921580779204,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.998692156658118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.9986921580779204,0.9872876771610949,0.9874297940625836,0.9987923795158007,0.998692156658118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872660391647733,0.9874086673727227,0.9987830051576412,0.9986822759064673,0.9872660391647733,0.9874086673727227,0.998783005157641,0.9986822748768288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9872660391647733,0.9874086673727227,0.9987830051576412,0.9986822759064673,0.9872660391647733,0.9874086673727227,0.998783005157641,0.9986822748768288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989403569103568,0.9988634639096444,0.9886184139348696,0.9887163205766261,0.9989403566762552,0.9988634629861519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989403569103568,0.9988634639096444,0.9886184139348696,0.9887163205766261,0.9989403566762552,0.9988634629861519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989393163294451,0.9988621728749842,0.9886184139348696,0.9887163205766261,0.9989393198409668,0.9988621815030558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989393163294451,0.9988621728749842,0.9886184139348696,0.9887163205766261,0.9989393198409668,0.9988621815030558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
